N,P,K,temperature,humidity,ph,rainfall,label
48.65,49.81,59.8,23.95,59.9,6.97,42.18,sunflower
30.86,113.73,98.76,14.56,82.58,6.2,74.41,strawberry
140.0,40.1,53.99,23.0,75.62,7.06,48.0,cotton
58.2,36.83,54.29,22.98,75.3,6.38,62.34,onion
70.31,42.36,79.16,30.02,66.32,6.18,60.12,capsicum
45.89,26.63,34.64,31.13,64.86,5.3,127.32,cashew
18.77,131.89,194.66,21.52,86.18,5.35,133.74,apple
44.28,51.31,51.55,31.44,91.28,6.22,167.46,papaya
83.0,45.94,69.14,13.03,67.98,6.45,51.51,cauliflower
19.84,23.91,30.51,33.87,47.03,6.55,127.11,mango
32.2,11.49,9.59,17.93,87.21,6.79,89.58,orange
45.94,63.54,50.11,18.22,70.73,6.44,72.17,garlic
74.62,22.82,42.92,26.12,89.49,5.12,261.18,rubber
62.71,52.51,50.01,26.6,65.03,6.91,77.86,tomato
106.94,70.45,45.95,27.07,76.23,5.67,137.53,banana
100.9,27.55,69.03,30.65,92.12,5.14,127.65,pineapple
48.83,47.34,48.71,35.83,92.67,6.63,154.51,papaya
110.49,40.84,38.07,24.77,41.83,6.67,98.88,wheat
61.88,48.48,80.63,20.45,67.42,5.78,52.83,potato
129.74,31.51,30.76,26.65,57.4,6.33,164.03,coffee
100.6,60.84,80.71,27.15,80.94,6.23,95.91,tobacco
120.62,66.19,50.0,21.04,62.41,6.19,95.06,maize
122.18,54.37,51.98,16.37,67.51,6.39,42.28,cauliflower
60.39,39.56,51.19,19.55,77.13,6.55,52.88,onion
117.69,51.61,79.15,21.03,92.64,5.94,67.63,cauliflower
53.37,16.31,30.01,26.64,78.55,6.33,149.9,cashew
60.12,72.2,38.15,21.38,87.6,6.84,240.15,rice
105.22,29.87,30.13,25.44,46.17,6.71,154.1,coffee
44.53,79.03,47.21,36.71,96.94,6.2,181.0,papaya
38.13,35.5,40.49,20.97,61.99,6.44,67.22,coriander
117.71,49.34,60.01,25.48,69.51,6.53,70.0,wheat
19.84,70.64,10.16,26.55,43.72,5.76,144.66,pigeonpeas
31.35,52.33,103.63,25.99,67.41,6.14,67.47,sweet_potato
48.7,57.85,61.79,16.45,59.31,7.13,44.69,garlic
72.81,48.81,61.94,23.01,63.88,5.62,61.52,potato
20.94,27.3,31.26,37.15,53.48,5.6,88.97,mango
53.1,35.08,81.86,21.78,69.69,6.33,41.05,radish
39.15,32.02,50.17,25.76,83.51,6.44,72.68,tomato
109.84,29.63,23.25,24.61,57.05,6.71,147.48,coffee
59.61,44.91,61.99,21.12,65.79,6.52,43.97,tomato
18.46,64.41,21.61,16.5,31.71,6.29,78.27,kidneybeans
45.47,80.21,85.69,19.54,18.41,6.94,80.06,chickpea
31.43,45.46,47.29,19.61,69.13,6.73,45.42,garlic
67.99,43.12,64.89,24.39,83.95,6.48,59.71,capsicum
103.07,61.41,64.85,21.33,72.08,5.71,97.11,maize
47.97,43.96,44.45,27.52,45.07,6.17,23.67,castor
108.43,35.93,98.57,30.94,70.46,4.96,141.19,pineapple
77.8,51.26,43.14,21.32,81.36,6.6,223.65,rice
53.4,50.35,41.06,21.14,76.84,6.17,195.02,cardamom
27.27,49.81,14.74,26.38,86.88,6.73,53.07,mungbean
94.37,10.66,57.38,22.91,83.45,6.53,50.03,watermelon
59.82,41.0,57.96,28.46,84.71,6.21,245.15,cardamom
103.85,7.85,39.47,22.99,88.35,6.33,39.29,watermelon
28.62,24.46,55.01,32.87,71.37,6.6,71.88,lemon
50.21,25.26,32.85,25.13,63.72,6.48,53.55,sesame
46.78,45.65,55.69,28.08,64.51,6.79,42.43,tomato
21.44,25.83,26.05,30.07,53.05,6.67,98.77,mango
23.53,65.56,20.27,22.04,71.59,6.81,61.6,lentil
12.14,125.66,205.0,22.05,89.99,6.2,105.25,apple
51.55,53.34,56.57,20.18,73.55,6.78,71.35,garlic
101.5,56.47,74.78,31.55,79.44,6.55,183.97,ginger
26.27,47.4,120.17,14.57,53.99,6.25,42.38,carrot
104.08,35.96,27.52,23.2,77.91,6.77,80.8,wheat
64.94,34.21,31.12,23.18,100.0,4.93,254.44,rubber
68.78,43.99,56.46,23.4,75.15,6.05,253.33,pepper
65.75,30.98,25.87,27.18,86.86,6.67,242.36,rice
39.54,23.02,54.09,27.39,70.97,6.82,114.31,guava
15.81,37.09,18.32,18.58,18.33,6.18,88.9,kidneybeans
99.25,35.86,63.17,19.53,61.49,6.9,41.59,spinach
40.62,31.55,25.45,24.83,59.47,6.89,44.39,sesame
97.52,48.24,17.76,20.72,64.21,6.92,99.6,wheat
19.82,45.36,23.87,25.54,77.51,6.69,55.9,mungbean
23.99,58.01,74.21,18.88,10.0,7.09,83.62,chickpea
43.35,61.11,63.82,27.53,56.11,6.97,84.3,chilli
14.57,62.53,48.16,27.23,62.8,7.0,63.94,groundnut
94.48,49.28,65.87,16.37,70.46,6.52,89.9,maize
21.03,140.28,205.0,13.94,96.37,6.32,133.56,apple
14.13,40.9,15.5,31.54,55.85,6.78,50.37,mothbeans
45.91,41.81,42.41,21.4,60.31,7.27,61.22,coriander
22.49,29.47,37.07,23.84,76.98,6.11,57.14,grapes
128.95,32.15,78.36,17.89,58.6,6.64,37.94,spinach
51.11,43.83,45.65,26.11,84.77,5.37,262.61,cardamom
30.94,42.51,78.33,25.93,79.24,5.8,62.28,sweet_potato
48.3,56.78,54.31,22.38,87.53,6.71,84.99,capsicum
125.14,35.88,84.52,24.28,83.86,5.95,161.13,turmeric
56.82,31.68,32.83,34.14,90.23,6.21,203.8,rubber
13.44,48.41,21.43,25.05,48.39,6.89,64.74,mothbeans
36.01,73.98,20.61,31.46,75.69,7.36,68.85,blackgram
115.02,29.16,94.53,31.21,82.83,5.44,153.5,pineapple
27.49,72.96,24.29,26.39,52.7,5.96,144.14,pigeonpeas
76.38,36.83,58.13,30.8,69.09,6.18,93.46,chilli
72.46,40.95,73.67,16.5,58.32,5.36,22.59,potato
100.74,62.65,42.93,27.08,80.54,6.16,88.25,banana
79.58,51.11,42.03,18.11,71.06,5.29,57.4,potato
38.09,64.53,68.0,14.02,11.74,7.64,81.85,chickpea
25.08,37.73,84.21,20.16,86.47,6.13,91.75,sweet_potato
89.96,30.7,31.44,20.65,91.15,4.98,148.59,tea
18.0,15.5,6.87,19.42,94.03,6.52,116.4,orange
6.46,21.93,10.24,19.68,94.68,7.23,101.55,orange
26.78,62.81,52.48,25.86,74.11,6.57,86.14,soybean
86.24,42.03,74.21,14.71,69.67,5.76,38.87,potato
38.04,37.03,32.55,28.32,33.72,6.74,56.01,castor
25.23,45.68,38.73,29.06,49.37,6.55,40.07,castor
48.28,11.69,19.54,30.61,74.11,5.76,112.83,cashew
