arrival_date,year,month,state,district,market,commodity,crop,season,demand,min_price,max_price,modal_price,price_unit,source,source_url
2016-01-01,2016,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1863,2635,2249,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-02-01,2016,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1900,2596,2248,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-03-01,2016,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2093,2561,2327,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-04-01,2016,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1899,2337,2118,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-05-01,2016,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1776,2440,2108,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-06-01,2016,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2224,2566,2395,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-07-01,2016,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2119,2821,2470,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-08-01,2016,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2017,2389,2203,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-09-01,2016,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2067,2525,2296,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-10-01,2016,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2047,2615,2331,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-11-01,2016,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1795,2413,2104,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2016-12-01,2016,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2119,2511,2315,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-01-01,2017,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1714,2154,1934,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-02-01,2017,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1648,2364,2006,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-03-01,2017,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2153,2547,2350,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-04-01,2017,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2211,2707,2459,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-05-01,2017,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2177,2943,2560,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-06-01,2017,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2363,2991,2677,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-07-01,2017,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2474,2874,2674,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-08-01,2017,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2482,2870,2676,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-09-01,2017,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2023,2595,2309,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-10-01,2017,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2185,2633,2409,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-11-01,2017,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1689,2401,2045,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2017-12-01,2017,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2116,2512,2314,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-01-01,2018,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1969,2463,2216,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-02-01,2018,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1927,2421,2174,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-03-01,2018,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1790,2428,2109,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-04-01,2018,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2075,2637,2356,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-05-01,2018,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2220,3096,2658,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-06-01,2018,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2336,3322,2829,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-07-01,2018,7,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2495,3183,2839,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-08-01,2018,8,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2388,2772,2580,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-09-01,2018,9,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2194,2876,2535,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-10-01,2018,10,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2124,2782,2453,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-11-01,2018,11,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2224,2744,2484,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2018-12-01,2018,12,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2058,2368,2213,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-01-01,2019,1,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,1882,2568,2225,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-02-01,2019,2,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2122,2502,2312,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-03-01,2019,3,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2391,2807,2599,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-04-01,2019,4,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2143,2745,2444,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-05-01,2019,5,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2285,3165,2725,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
2019-06-01,2019,6,Madhya Pradesh,Indore,Indore,Paddy(Dhan)(Common),rice,Kharif,high,2129,2877,2503,INR/quintal,FarmSense mandi price archive,https://api.data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi
